delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,order_vlaue,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,hub_name,zone,hub_type,capacity_score,has_complaint,complaint_count,has_incident,incident_count
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 03:09:00,OnTime,13.85,0,0,4.36,15.17,C0449,Passenger,2024-02-02 01:04:00,1,South,West,Low,20.68,Web,0,20.68,67,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2024-08-24 20:51:00,65.1,74.6,App,Active,Central,FullTime,12,79.5,4.61,Evening,1,Hybrid,South,2025-01-11 11:13:00,65.5,163683,Scheduled,v2.2,West Gate,West,Dispatch,69,1.0,1.0,1.0,1.0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05,Failed,16.96,3,0,4.04,16.98,C0197,Business,2024-12-26 18:58:00,6,Central,Riverside,Medium,321.68,App,0,321.68,29,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-11-08 16:48:00,58.4,62.0,App,Active,West,FullTime,3,75.4,3.58,Evening,1,Hybrid,Riverside,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2,Central Core,Central,Control,88,0.0,0.0,0.0,0.0
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30,OnTime,6.01,2,0,3.96,11.52,C0578,Business,2025-01-26 05:55:00,6,East,Central,Medium,80.04,Web,0,80.04,63,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2024-06-01 14:06:00,74.1,46.0,App,Active,Riverside,Contract,2,82.0,3.71,Morning,1,CargoVan,South,2025-09-30 12:01:00,87.3,145652,Active,v2.1,West Gate,West,Dispatch,69,0.0,0.0,1.0,1.0
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43,OnTime,16.46,0,0,3.67,11.74,C0153,Passenger,2024-05-07 09:57:00,12,East,West,Medium,61.87,App,0,61.87,49,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2024-09-10 22:33:00,38.4,51.1,App,Active,East,PartTime,10,67.6,4.62,Morning,1,EV,Riverside,2025-06-14 03:47:00,90.5,49711,Active,v2.0,Central Core,Central,Control,88,0.0,0.0,1.0,1.0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56,OnTime,26.58,3,0,4.47,21.64,C0479,Retail,2024-08-16 19:48:00,12,Airport,West,Medium,71.08,App,1,71.08,48,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2025-08-03 11:26:00,59.1,53.9,App,Active,West,FullTime,11,77.0,4.84,Morning,1,EV,Central,2024-06-09 16:18:00,78.4,29849,Active,v2.2,West Gate,West,Dispatch,69,0.0,0.0,0.0,0.0
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00,OnTime,18.25,1,0,5.0,12.61,C0006,Passenger,2025-06-11 23:22:00,6,West,Airport,High,76.75,Phone,0,76.75,41,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-03-29 13:26:00,39.9,43.3,Web,Active,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,East,2025-08-24 05:20:00,58.5,172956,Active,v1.9,Midtown Relay,Central,Charging,63,0.0,0.0,1.0,1.0
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42,Delayed,20.79,0,0,1.0,15.62,C0572,Medical,2024-08-25 16:52:00,1,Central,Riverside,High,188.73,Web,0,188.73,66,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2024-12-31 17:14:00,47.4,45.6,App,Active,Central,FullTime,4,42.4,3.94,Evening,1,EV,Riverside,2025-06-14 03:47:00,90.5,49711,Active,v2.0,Central Core,Central,Control,88,0.0,0.0,0.0,0.0
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 10:52:00,OnTime,13.67,0,0,4.46,16.18,C0374,Retail,2025-07-29 07:56:00,2,West,West,Low,132.01,App,0,132.01,74,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2025-02-09 06:00:00,71.1,39.1,App,Active,East,FullTime,3,89.4,3.85,Night,1,EV,North,2024-12-28 23:48:00,71.8,56928,Active,v2.2,North Exchange,North,Dispatch,82,0.0,0.0,0.0,0.0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41,OnTime,16.35,4,0,4.97,13.97,C0336,Parcel,2024-06-25 23:47:00,6,Central,East,Low,103.78,App,0,103.78,33,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-12-04 16:33:00,59.6,38.3,Phone,Dormant,North,PartTime,4,84.9,3.15,Night,0,Hybrid,Riverside,2024-06-07 13:21:00,78.05,36310,Active,v2.2,Airport Hub,Airport,Dispatch,71,0.0,0.0,1.0,1.0
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37,OnTime,24.31,0,0,4.15,12.61,C0478,Medical,2025-03-29 10:44:00,4,North,North,Low,54.41,Web,0,54.41,43,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-02-22 09:47:00,43.6,52.4,App,Active,South,FullTime,13,74.1,4.42,Evening,1,EV,West,2024-01-05 09:25:00,84.3,217057,Active,v2.1,North Exchange,North,Dispatch,82,0.0,0.0,0.0,0.0
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52,OnTime,9.77,4,0,4.07,6.43,C0300,Passenger,2025-04-24 11:49:00,24,Central,North,Medium,9.42,App,0,9.42,37,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-03-14 08:54:00,65.2,36.6,App,Active,North,FullTime,1,71.1,3.93,Flexible,1,EV,West,2024-12-28 08:10:00,86.6,165481,Active,v2.2,Midtown Relay,Central,Charging,63,0.0,0.0,0.0,0.0
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39,Failed,15.81,0,0,3.5,15.62,C0492,Parcel,2025-08-23 21:51:00,4,East,Central,Medium,97.55,App,0,97.55,22,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-06-24 04:22:00,60.0,65.6,Phone,Active,Riverside,Contract,4,84.3,4.17,Morning,1,Diesel,Riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1,Riverside Hub,Riverside,Warehouse,66,0.0,0.0,0.0,0.0
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11,OnTime,4.29,1,0,5.0,2.5,C0606,Retail,2025-06-12 00:28:00,4,Central,West,Medium,69.17,App,0,69.17,68,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-05-06 10:57:00,64.3,56.9,App,Active,South,FullTime,5,82.2,4.06,Morning,1,Diesel,Central,2025-06-22 17:38:00,83.0,71294,Active,v2.2,Midtown Relay,Central,Charging,63,0.0,0.0,0.0,0.0
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44,OnTime,8.58,0,0,4.78,14.62,C0216,Retail,2025-08-19 14:21:00,4,South,Airport,Medium,260.15,Web,0,260.15,50,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-02-26 02:42:00,51.9,85.2,App,Active,North,FullTime,2,59.6,4.12,Flexible,1,EV,North,2024-12-04 10:53:00,78.05,130270,Active,v2.0,South Link,South,Dispatch,78,0.0,0.0,0.0,0.0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15,OnTime,7.41,0,0,5.0,7.2,C0542,Medical,2025-09-08 18:21:00,4,South,Central,Low,56.47,App,0,56.47,73,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-08-29 08:39:00,40.7,62.9,Phone,Active,West,FullTime,8,71.2,3.64,Evening,1,Diesel,West,2025-12-29 15:01:00,69.7,73011,Active,v2.1,West Gate,West,Dispatch,69,0.0,0.0,0.0,0.0
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45,Failed,14.27,2,0,2.23,10.04,C0480,Passenger,2025-02-04 09:04:00,24,West,Riverside,High,133.71,App,0,133.71,26,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2025-03-02 00:55:00,67.6,49.6,App,Dormant,East,FullTime,15,88.2,4.24,Evening,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1,West Gate,West,Dispatch,69,0.0,0.0,0.0,0.0
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30,OnTime,13.27,0,0,4.15,9.05,C0152,Medical,2024-01-01 01:29:00,24,East,South,Medium,19.26,Web,0,19.26,61,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-06-30 15:32:00,66.2,63.3,App,Dormant,West,FullTime,6,75.0,4.25,Morning,1,Hybrid,North,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2,South Link,South,Dispatch,78,0.0,0.0,1.0,1.0
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00,Delayed,15.53,2,0,2.7,13.05,C0476,Business,2024-11-12 14:07:00,4,South,North,Critical,56.73,Phone,0,56.73,59,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-10-04 13:18:00,66.0,69.6,App,Active,North,PartTime,10,82.2,3.89,Night,1,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1,Midtown Relay,Central,Charging,63,1.0,1.0,0.0,0.0
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 06:49:00,OnTime,9.43,1,0,3.72,8.72,C0075,Passenger,2024-05-15 04:14:00,1,North,Central,Low,94.32,App,0,94.32,43,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-04-13 11:39:00,59.2,23.9,App,Active,East,PartTime,9,69.7,4.1,Evening,1,EV,Central,2024-02-25 07:56:00,82.8,42307,Scheduled,v2.2,Riverside Hub,Riverside,Warehouse,66,0.0,0.0,0.0,0.0
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12,OnTime,7.71,1,0,4.1,16.42,C0490,Parcel,2024-06-16 18:40:00,1,West,North,Medium,80.48,Web,0,80.48,78,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-08-09 19:59:00,44.0,48.3,Web,Active,West,FullTime,11,71.3,4.27,Morning,1,Hybrid,Riverside,2024-06-28 15:49:00,97.5,73769,InRepair,v2.0,East Dock,East,Warehouse,74,0.0,0.0,0.0,0.0
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:32:00,OnTime,12.06,0,0,4.1,14.98,C0347,Passenger,2025-07-23 20:36:00,2,South,South,High,71.2,Phone,0,71.2,18,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2024-06-07 04:33:00,54.9,40.4,Web,Dormant,North,PartTime,7,63.9,4.67,Morning,1,Diesel,South,2025-08-06 20:40:00,60.3,126438,Active,v2.2,North Exchange,North,Dispatch,82,0.0,0.0,0.0,0.0
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46,OnTime,15.58,1,0,4.23,13.75,C0171,Retail,2025-01-29 00:42:00,6,South,North,Low,34.55,Phone,0,34.55,47,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-01-20 10:35:00,82.4,81.9,Phone,Active,North,FullTime,2,59.6,4.12,Flexible,1,CargoVan,North,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1,Midtown Relay,Central,Charging,63,0.0,0.0,1.0,1.0
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25,Failed,11.72,0,1,4.13,18.12,C0338,Medical,2024-11-17 13:40:00,24,Riverside,Central,Critical,125.38,App,0,125.38,35,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-10-04 07:24:00,58.0,89.2,App,Dormant,East,PartTime,3,88.2,3.67,Morning,1,Diesel,West,2024-04-12 02:10:00,85.5,32441,InRepair,v2.1,Airport Hub,Airport,Dispatch,71,0.0,0.0,0.0,0.0
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57,Delayed,14.68,0,0,4.4,9.44,C0581,Medical,2025-06-18 11:20:00,2,West,Airport,Critical,10.07,App,1,10.07,78,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-09-27 00:03:00,48.1,68.4,App,Dormant,South,FullTime,13,74.1,4.42,Evening,1,EV,East,2025-03-22 01:17:00,85.1,63717,Active,v2.1,West Gate,West,Dispatch,69,0.0,0.0,0.0,0.0
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14,OnTime,22.05,0,0,4.96,14.78,C0473,Business,2025-05-21 19:25:00,6,South,East,Medium,142.68,App,0,142.68,72,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-07-17 04:40:00,39.8,78.2,Web,Active,East,FullTime,11,85.1,4.34,Morning,1,CargoVan,Central,2025-03-16 12:29:00,81.6,68032,Active,v2.1,Riverside Hub,Riverside,Warehouse,66,0.0,0.0,0.0,0.0
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12,OnTime,15.77,1,0,4.35,13.68,C0331,Retail,2024-11-08 21:45:00,4,South,West,Medium,35.54,App,0,35.54,58,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-02-26 12:26:00,52.0,34.8,App,Active,Central,FullTime,5,81.4,4.45,Morning,1,CargoVan,North,2024-05-06 13:52:00,74.9,93084,Active,v2.1,Airport Hub,Airport,Dispatch,71,1.0,1.0,1.0,1.0
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07,OnTime,23.49,1,0,4.21,11.21,C0482,Retail,2025-05-15 01:52:00,24,East,Central,Low,62.26,Web,0,62.26,73,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Enterprise,2025-02-04 23:25:00,74.8,54.1,Web,Active,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,Central,2024-05-12 02:12:00,58.9,52725,InRepair,v1.9,Central Core,Central,Control,88,0.0,0.0,0.0,0.0
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11,Failed,8.82,2,0,3.43,13.21,C0499,Business,2025-10-26 12:56:00,2,South,South,Medium,85.0,App,0,85.0,40,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-10-13 12:05:00,55.9,74.5,App,Active,Ctr,FullTime,4,56.4,4.03,Morning,1,EV,Airport,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2,South Link,South,Dispatch,78,0.0,0.0,1.0,1.0
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45,Failed,17.13,1,0,2.51,16.3,C0504,Passenger,2025-07-26 14:06:00,4,Central,East,Low,76.58,App,1,76.58,66,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-04-29 05:36:00,51.7,85.1,App,Active,North,FullTime,8,58.0,3.78,Morning,1,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0,Midtown Relay,Central,Charging,63,0.0,0.0,0.0,0.0
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35,Failed,9.53,1,0,1.68,11.11,C0619,Retail,2025-02-01 07:06:00,4,Riverside,North,Low,229.93,App,0,229.93,48,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-10-07 22:42:00,47.2,56.1,App,Active,Airport,PartTime,12,74.3,3.7,Night,1,Diesel,North,2025-09-26 13:33:00,90.4,215767,InRepair,v2.1,West Gate,West,Dispatch,69,1.0,1.0,0.0,0.0
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37,Failed,15.88,3,1,2.94,13.19,C0368,Retail,2024-02-01 07:49:00,6,North,South,Low,62.8,Phone,1,62.8,23,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-05-25 21:41:00,49.5,92.7,Phone,Active,Central,FullTime,4,62.0,4.31,Flexible,1,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0,Midtown Relay,Central,Charging,63,1.0,1.0,0.0,0.0
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54,OnTime,12.02,0,0,4.45,11.41,C0141,Retail,2024-10-03 23:49:00,12,North,East,Critical,78.93,App,0,78.93,37,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-05-03 17:03:00,29.6,32.1,Partner API,Dormant,Airport,Contract,1,75.2,4.36,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1,North Exchange,North,Dispatch,82,0.0,0.0,1.0,1.0
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28,OnTime,11.94,0,0,4.24,11.81,C0224,Retail,2024-12-04 12:49:00,6,South,West,Medium,27.48,Phone,0,27.48,63,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2024-02-05 09:13:00,50.9,35.5,Web,Active,Riverside,Contract,7,40.6,4.1,Morning,1,EV,East,2025-01-01 01:38:00,69.5,37024,InRepair,v1.9,Riverside Hub,Riverside,Warehouse,66,1.0,1.0,0.0,0.0
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42,OnTime,4.63,0,0,4.34,12.87,C0096,Retail,2024-07-12 07:43:00,6,North,West,Critical,32.27,App,0,32.27,73,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-07-18 07:52:00,31.8,58.2,Unknown,Active,Central,Contract,14,41.4,4.0,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1,North Exchange,North,Dispatch,82,1.0,1.0,0.0,0.0
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01,OnTime,10.61,1,0,5.0,14.13,C0139,Retail,2025-11-06 21:37:00,24,West,Ctr,Low,44.93,API,1,44.93,60,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,SME,2024-06-02 05:09:00,51.7,71.5,App,Active,South,FullTime,13,74.1,4.42,Evening,1,EV,North,2024-11-21 11:04:00,87.8,141107,Active,v2.0,Midtown Relay,Central,Charging,63,0.0,0.0,0.0,0.0
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41,OnTime,5.53,2,0,3.09,11.27,C0633,Parcel,2025-10-30 07:05:00,24,West,West,Low,42.02,App,0,42.02,44,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2025-12-14 02:47:00,57.6,56.5,Partner API,Active,Riverside,Contract,4,84.3,4.17,Morning,1,EV,North,2024-07-11 13:31:00,95.8,101425,Active,v1.9,Central Core,Central,Control,88,0.0,0.0,0.0,0.0
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,2024-02-19 04:07:00,OnTime,16.33,0,0,5.0,10.25,C0031,Parcel,2024-02-19 02:04:00,2,West,Central,Low,63.35,App,0,63.35,35,<bound method StringMethods.title of <pandas.core.strings.accessor.StringMethods object at 0x78bc363edd60>>,Consumer,2024-04-30 16:26:00,42.5,44.0,Web,Active,North,FullTime,2,59.6,4.12,Flexible,1,Hybrid,East,2025-08-24 05:20:00,58.5,172956,Active,v1.9,Airport Hub,Airport,Dispatch,71,1.0,1.0,0.0,0.0
