delivery_id,order_id_x,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,order_vlaue,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,hub_name,zone,hub_type,capacity_score,complaint_id,order_id_y,complaint_type,channel,severity_x,created_at,status,resolution_days,compensation_amount,incident_id,incident_type,reported_at,severity_y,resolution_status,resolved_hours,delay_minutes,risk_score
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52,OnTime,40.23,1,0,3.7,15.78,C0560,Passenger,2024-04-12 20:51:00,6,Airport,RiverSide,Low,151.53,Web,0,151.53,29,north,SME,2025-06-12 08:19:00,59.0,56.2,Web,Active,Riverside,Contract,4,84.3,4.17,Morning,1,EV,north,2024-12-04 10:53:00,78.05,130270,Active,v2.0,Central Core,Central,Control,88,CP0117,O00831,Delay,Phone,High,2025-03-07 08:02:00,Resolved,11.0,35.62,I0043,AppSyncError,2024-04-12 22:42:00,Low,Open,20.1,225.86666666666667,0.36063767226611443
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52,OnTime,40.23,1,0,3.7,15.78,C0560,Passenger,2024-04-12 20:51:00,6,Airport,RiverSide,Low,151.53,Web,0,151.53,29,north,SME,2025-06-12 08:19:00,59.0,56.2,Web,Active,Riverside,Contract,4,84.3,4.17,Morning,1,EV,north,2024-12-04 10:53:00,78.05,130270,Active,v2.0,Central Core,Central,Control,88,CP0117,O00831,Delay,Phone,High,2025-03-07 08:02:00,Resolved,11.0,35.62,I0170,BatteryAlert,2024-04-12 22:24:00,Medium,Closed,7.4,225.86666666666667,0.36063767226611443
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29,Failed,9.85,1,0,3.2,9.31,C0186,Passenger,2025-09-22 16:20:00,6,South,north,Low,45.9,App,1,45.9,56,East,Consumer,2024-03-15 08:01:00,57.5,57.8,Phone,Dormant,AIRPORT,FullTime,9,82.7,4.27,Flexible,1,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0,Midtown Relay,Central,Charging,63,CP0055,O00836,MissedPickup,Chatbot,High,2025-09-23 16:20:00,Resolved,14.0,60.3,,,,,,,366.48333333333335,0.2983885607629567
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 03:09:00,OnTime,13.85,0,0,4.36,15.17,C0449,Passenger,2024-02-02 01:04:00,1,South,West,Low,20.68,Web,0,20.68,67,EAST,Enterprise,2024-08-24 20:51:00,65.1,74.6,App,Active,Central,FullTime,12,79.5,4.61,Evening,1,Hybrid,SOUTH,2025-01-11 11:13:00,65.5,163683,Scheduled,v2.2,West Gate,West,Dispatch,69,CP0293,O00202,DriverBehaviour,Phone,Medium,2024-02-02 01:04:00,Resolved,3.0,28.0,I0135,ProofMissing,2024-02-02 04:42:00,Medium,Open,11.5,0.0,0.30000000000000004
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05,Failed,16.96,3,0,4.04,16.98,C0197,Business,2024-12-26 18:58:00,6,Central,RiverSide,Medium,321.68,App,0,321.68,29,RiverSide,Consumer,2024-11-08 16:48:00,58.4,62.0,App,Active,WEST,FullTime,3,75.4,3.58,Evening,1,Hybrid,RiverSide,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2,Central Core,Central,Control,88,,,,,,,,,,,,,,,,825.0833333333334,0.22150737644141033
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30,OnTime,6.01,2,0,3.96,11.52,C0578,Business,2025-01-26 05:55:00,6,East,Central,Medium,80.04,Web,0,80.04,63,Ctr,SME,2024-06-01 14:06:00,74.1,46.0,App,Active,RiverSide,Contract,2,82.0,3.71,Morning,1,CargoVan,SOUTH,2025-09-30 12:01:00,87.3,145652,Active,v2.1,West Gate,West,Dispatch,69,CP0082,O00515,Delay,App,Medium,2024-02-06 10:24:00,Escalated,7.0,10.81,I0196,VehicleFault,2025-01-26 10:52:00,Medium,Closed,0.2,124.5,0.3334241006366495
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30,OnTime,6.01,2,0,3.96,11.52,C0578,Business,2025-01-26 05:55:00,6,East,Central,Medium,80.04,Web,0,80.04,63,Ctr,SME,2024-06-01 14:06:00,74.1,46.0,App,Active,RiverSide,Contract,2,82.0,3.71,Morning,1,CargoVan,SOUTH,2025-09-30 12:01:00,87.3,145652,Active,v2.1,West Gate,West,Dispatch,69,CP0167,O00837,Damage,Chatbot,Low,2024-04-26 16:50:00,Resolved,1.0,11.75,I0196,VehicleFault,2025-01-26 10:52:00,Medium,Closed,0.2,124.5,0.3334241006366495
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43,OnTime,16.46,0,0,3.67,11.74,C0153,Passenger,2024-05-07 09:57:00,12,East,WEST,Medium,61.87,App,0,61.87,49,Ctr,SME,2024-09-10 22:33:00,38.4,51.1,App,Active,East,PartTime,10,67.6,4.62,Morning,1,EV,RiverSide,2025-06-14 03:47:00,90.5,49711,Active,v2.0,Central Core,Central,Control,88,,,,,,,,,,I0046,ProofMissing,2024-05-07 14:02:00,High,PendingVendor,6.9,490.71666666666664,0.23174107028713148
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56,OnTime,26.58,3,0,4.47,21.64,C0479,Retail,2024-08-16 19:48:00,12,Airport,WEST,Medium,71.08,App,1,71.08,48,North,Enterprise,2025-08-03 11:26:00,59.1,53.9,App,Active,WEST,FullTime,11,77.0,4.84,Morning,1,EV,CENTRAL,2024-06-09 16:18:00,78.4,29849,Active,v2.2,West Gate,West,Dispatch,69,,,,,,,,,,,,,,,,568.9333333333333,0.15273963846488198
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00,OnTime,18.25,1,0,5.0,12.61,C0006,Passenger,2025-06-11 23:22:00,6,West,Airport,High,76.75,Phone,0,76.75,41,WEST,Consumer,2024-03-29 13:26:00,39.9,43.3,Web,Active,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,EAST,2025-08-24 05:20:00,58.5,172956,Active,v1.9,Midtown Relay,Central,Charging,63,,,,,,,,,,I0252,VehicleFault,2025-06-12 02:24:00,Medium,PendingVendor,3.8,184.0,0.14939786760757842
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42,Delayed,20.79,0,0,1.0,15.62,C0572,Medical,2024-08-25 16:52:00,1,Central,RiverSide,High,188.73,Web,0,188.73,66,North,Enterprise,2024-12-31 17:14:00,47.4,45.6,App,Active,Central,FullTime,4,42.4,3.94,Evening,1,EV,RiverSide,2025-06-14 03:47:00,90.5,49711,Active,v2.0,Central Core,Central,Control,88,,,,,,,,,,,,,,,,519.7,0.13952212932423103
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 10:52:00,OnTime,13.67,0,0,4.46,16.18,C0374,Retail,2025-07-29 07:56:00,2,West,WEST,Low,132.01,App,0,132.01,74,North,SME,2025-02-09 06:00:00,71.1,39.1,App,Active,East,FullTime,3,89.4,3.85,Night,1,EV,North,2024-12-28 23:48:00,71.8,56928,Active,v2.2,North Exchange,North,Dispatch,82,,,,,,,,,,,,,,,,0.0,0.0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41,OnTime,16.35,4,0,4.97,13.97,C0336,Parcel,2024-06-25 23:47:00,6,Central,East,Low,103.78,App,0,103.78,33,AIRPORT,Consumer,2025-12-04 16:33:00,59.6,38.3,Phone,Dormant,NORTH,PartTime,4,84.9,3.15,Night,0,Hybrid,RiverSide,2024-06-07 13:21:00,78.05,36310,Active,v2.2,Airport Hub,Airport,Dispatch,71,,,,,,,,,,I0116,SafetyNearMiss,2024-06-26 00:10:00,Critical,Escalated,12.1,474.68333333333334,0.22743665464958707
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37,OnTime,24.31,0,0,4.15,12.61,C0478,Medical,2025-03-29 10:44:00,4,North,north,Low,54.41,Web,0,54.41,43,north,Consumer,2024-02-22 09:47:00,43.6,52.4,App,Active,South,FullTime,13,74.1,4.42,Evening,1,EV,West,2024-01-05 09:25:00,84.3,217057,Active,v2.1,North Exchange,North,Dispatch,82,,,,,,,,,,,,,,,,101.61666666666666,0.02728068829740993
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52,OnTime,9.77,4,0,4.07,6.43,C0300,Passenger,2025-04-24 11:49:00,24,Central,NORTH,Medium,9.42,App,0,9.42,37,CENTRAL,Consumer,2025-03-14 08:54:00,65.2,36.6,App,Active,north,FullTime,1,71.1,3.93,Flexible,1,EV,West,2024-12-28 08:10:00,86.6,165481,Active,v2.2,Midtown Relay,Central,Charging,63,,,,,,,,,,,,,,,,1260.8666666666666,0.33850067755874297
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39,Failed,15.81,0,0,3.5,15.62,C0492,Parcel,2025-08-23 21:51:00,4,East,Central,Medium,97.55,App,0,97.55,22,West,Consumer,2024-06-24 04:22:00,60.0,65.6,Phone,Active,Riverside,Contract,4,84.3,4.17,Morning,1,Diesel,Riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1,Riverside Hub,Riverside,Warehouse,66,,,,,,,,,,,,,,,,244.65,0.06568037125105468
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11,OnTime,4.29,1,0,5.0,2.5,C0606,Retail,2025-06-12 00:28:00,4,Central,WEST,Medium,69.17,App,0,69.17,68,SOUTH,Consumer,2024-05-06 10:57:00,64.3,56.9,App,Active,South,FullTime,5,82.2,4.06,Morning,1,Diesel,CENTRAL,2025-06-22 17:38:00,83.0,71294,Active,v2.2,Midtown Relay,Central,Charging,63,,,,,,,,,,,,,,,,81.18333333333334,0.021795019304032114
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44,OnTime,8.58,0,0,4.78,14.62,C0216,Retail,2025-08-19 14:21:00,4,South,Airport,Medium,260.15,Web,0,260.15,50,RiverSide,Consumer,2024-02-26 02:42:00,51.9,85.2,App,Active,NORTH,FullTime,2,59.6,4.12,Flexible,1,EV,north,2024-12-04 10:53:00,78.05,130270,Active,v2.0,South Link,South,Dispatch,78,,,,,,,,,,,,,,,,218.73333333333332,0.05872261000741478
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15,OnTime,7.41,0,0,5.0,7.2,C0542,Medical,2025-09-08 18:21:00,4,South,CENTRAL,Low,56.47,App,0,56.47,73,Central,Consumer,2025-08-29 08:39:00,40.7,62.9,Phone,Active,WEST,FullTime,8,71.2,3.64,Evening,1,Diesel,WEST,2025-12-29 15:01:00,69.7,73011,Active,v2.1,West Gate,West,Dispatch,69,,,,,,,,,,,,,,,,160.25,0.04302178415279589
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45,Failed,14.27,2,0,2.23,10.04,C0480,Passenger,2025-02-04 09:04:00,24,West,RiverSide,High,133.71,App,0,133.71,26,NORTH,Enterprise,2025-03-02 00:55:00,67.6,49.6,App,Dormant,East,FullTime,15,88.2,4.24,Evening,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1,West Gate,West,Dispatch,69,CP0114,O01104,MissedPickup,Phone,Medium,2024-09-27 16:27:00,Open,5.0,0.0,,,,,,,2312.75,0.8208962951599295
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45,Failed,14.27,2,0,2.23,10.04,C0480,Passenger,2025-02-04 09:04:00,24,West,RiverSide,High,133.71,App,0,133.71,26,NORTH,Enterprise,2025-03-02 00:55:00,67.6,49.6,App,Dormant,East,FullTime,15,88.2,4.24,Evening,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1,West Gate,West,Dispatch,69,CP0133,O01104,Delay,App,High,2024-09-21 16:27:00,Open,15.0,38.76,,,,,,,2312.75,0.8208962951599295
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30,OnTime,13.27,0,0,4.15,9.05,C0152,Medical,2024-01-01 01:29:00,24,East,South,Medium,19.26,Web,0,19.26,61,West,Consumer,2025-06-30 15:32:00,66.2,63.3,App,Dormant,WEST,FullTime,6,75.0,4.25,Morning,1,Hybrid,North,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2,South Link,South,Dispatch,78,,,,,,,,,,I0115,BatteryAlert,2024-01-01 05:05:00,Critical,Open,15.4,1253.5,0.436522973076628
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00,Delayed,15.53,2,0,2.7,13.05,C0476,Business,2024-11-12 14:07:00,4,South,north,Critical,56.73,Phone,0,56.73,59,NORTH,Consumer,2024-10-04 13:18:00,66.0,69.6,App,Active,North,PartTime,10,82.2,3.89,Night,1,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1,Midtown Relay,Central,Charging,63,CP0129,O00686,Delay,Phone,Medium,2025-01-13 12:20:00,Resolved,4.0,21.23,,,,,,,743.0,0.3994707371327759
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00,Delayed,15.53,2,0,2.7,13.05,C0476,Business,2024-11-12 14:07:00,4,South,north,Critical,56.73,Phone,0,56.73,59,NORTH,Consumer,2024-10-04 13:18:00,66.0,69.6,App,Active,North,PartTime,10,82.2,3.89,Night,1,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1,Midtown Relay,Central,Charging,63,CP0142,O00087,AppIssue,Chatbot,Low,2024-11-19 14:07:00,Resolved,3.0,8.27,,,,,,,743.0,0.3994707371327759
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 06:49:00,OnTime,9.43,1,0,3.72,8.72,C0075,Passenger,2024-05-15 04:14:00,1,North,CENTRAL,Low,94.32,App,0,94.32,43,Central,Consumer,2024-04-13 11:39:00,59.2,23.9,App,Active,East,PartTime,9,69.7,4.1,Evening,1,EV,CENTRAL,2024-02-25 07:56:00,82.8,42307,Scheduled,v2.2,Riverside Hub,Riverside,Warehouse,66,,,,,,,,,,,,,,,,0.0,0.0
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12,OnTime,7.71,1,0,4.1,16.42,C0490,Parcel,2024-06-16 18:40:00,1,West,North,Medium,80.48,Web,0,80.48,78,Central,Consumer,2025-08-09 19:59:00,44.0,48.3,Web,Active,West,FullTime,11,71.3,4.27,Morning,1,Hybrid,Riverside,2024-06-28 15:49:00,97.5,73769,InRepair,v2.0,East Dock,East,Warehouse,74,CP0060,O00869,MissedPickup,App,Low,2024-03-05 05:39:00,Resolved,4.0,0.0,,,,,,,25.2,0.206765360128864
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:32:00,OnTime,12.06,0,0,4.1,14.98,C0347,Passenger,2025-07-23 20:36:00,2,South,SOUTH,High,71.2,Phone,0,71.2,18,RiverSide,Enterprise,2024-06-07 04:33:00,54.9,40.4,Web,Dormant,north,PartTime,7,63.9,4.67,Morning,1,Diesel,South,2025-08-06 20:40:00,60.3,126438,Active,v2.2,North Exchange,North,Dispatch,82,,,,,,,,,,,,,,,,0.0,0.0
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46,OnTime,15.58,1,0,4.23,13.75,C0171,Retail,2025-01-29 00:42:00,6,South,north,Low,34.55,Phone,0,34.55,47,SOUTH,Consumer,2024-01-20 10:35:00,82.4,81.9,Phone,Active,NORTH,FullTime,2,59.6,4.12,Flexible,1,CargoVan,NORTH,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1,Midtown Relay,Central,Charging,63,CP0218,O01039,MissedPickup,App,Medium,2025-05-13 10:43:00,Resolved,7.0,19.7,I0038,ProofMissing,2025-01-29 06:31:00,Medium,Closed,5.2,179.76666666666668,0.3482613586970418
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25,Failed,11.72,0,1,4.13,18.12,C0338,Medical,2024-11-17 13:40:00,24,Riverside,Central,Critical,125.38,App,0,125.38,35,CENTRAL,Consumer,2024-10-04 07:24:00,58.0,89.2,App,Dormant,EAST,PartTime,3,88.2,3.67,Morning,1,Diesel,WEST,2024-04-12 02:10:00,85.5,32441,InRepair,v2.1,Airport Hub,Airport,Dispatch,71,,,,,,,,,,,,,,,,2450.4166666666665,0.6578552069750198
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57,Delayed,14.68,0,0,4.4,9.44,C0581,Medical,2025-06-18 11:20:00,2,West,Airport,Critical,10.07,App,1,10.07,78,NORTH,Consumer,2024-09-27 00:03:00,48.1,68.4,App,Dormant,South,FullTime,13,74.1,4.42,Evening,1,EV,East,2025-03-22 01:17:00,85.1,63717,Active,v2.1,West Gate,West,Dispatch,69,CP0130,O00618,Delay,Email,High,2025-11-27 10:42:00,AwaitingCustomer,12.0,24.38,,,,,,,1033.95,0.47758111528725933
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14,OnTime,22.05,0,0,4.96,14.78,C0473,Business,2025-05-21 19:25:00,6,South,EAST,Medium,142.68,App,0,142.68,72,AIRPORT,Consumer,2025-07-17 04:40:00,39.8,78.2,Web,Active,East,FullTime,11,85.1,4.34,Morning,1,CargoVan,CENTRAL,2025-03-16 12:29:00,81.6,68032,Active,v2.1,Riverside Hub,Riverside,Warehouse,66,,,,,,,,,,,,,,,,261.23333333333335,0.07013244355807828
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12,OnTime,15.77,1,0,4.35,13.68,C0331,Retail,2024-11-08 21:45:00,4,South,West,Medium,35.54,App,0,35.54,58,RiverSide,Consumer,2025-02-26 12:26:00,52.0,34.8,App,Active,Central,FullTime,5,81.4,4.45,Morning,1,CargoVan,NORTH,2024-05-06 13:52:00,74.9,93084,Active,v2.1,Airport Hub,Airport,Dispatch,71,CP0073,O00073,Delay,App,Medium,2025-04-07 04:59:00,AwaitingCustomer,12.0,0.0,I0258,AppSyncError,2024-11-09 01:48:00,Low,Open,19.9,355.2,0.39535936181636877
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12,OnTime,15.77,1,0,4.35,13.68,C0331,Retail,2024-11-08 21:45:00,4,South,West,Medium,35.54,App,0,35.54,58,RiverSide,Consumer,2025-02-26 12:26:00,52.0,34.8,App,Active,Central,FullTime,5,81.4,4.45,Morning,1,CargoVan,NORTH,2024-05-06 13:52:00,74.9,93084,Active,v2.1,Airport Hub,Airport,Dispatch,71,CP0091,O00652,Delay,Phone,Medium,2024-11-13 21:45:00,Resolved,4.0,18.405,I0258,AppSyncError,2024-11-09 01:48:00,Low,Open,19.9,355.2,0.39535936181636877
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07,OnTime,23.49,1,0,4.21,11.21,C0482,Retail,2025-05-15 01:52:00,24,East,Central,Low,62.26,Web,0,62.26,73,Riverside,Enterprise,2025-02-04 23:25:00,74.8,54.1,Web,Active,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,Central,2024-05-12 02:12:00,58.9,52725,InRepair,v1.9,Central Core,Central,Control,88,CP0098,O00335,MissedPickup,App,Medium,2024-01-31 03:09:00,Resolved,18.0,31.16,,,,,,,1426.1166666666666,0.5828647950704405
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11,Failed,8.82,2,0,3.43,13.21,C0499,Business,2025-10-26 12:56:00,2,South,South,Medium,85.0,App,0,85.0,40,Ctr,Consumer,2025-10-13 12:05:00,55.9,74.5,App,Active,Ctr,FullTime,4,56.4,4.03,Morning,1,EV,AIRPORT,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2,South Link,South,Dispatch,78,,,,,,,,,,I0228,BatteryAlert,2025-10-26 18:53:00,Medium,Closed,11.8,72.18333333333334,0.11937881925800926
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45,Failed,17.13,1,0,2.51,16.3,C0504,Passenger,2025-07-26 14:06:00,4,Central,EAST,Low,76.58,App,1,76.58,66,RiverSide,Consumer,2025-04-29 05:36:00,51.7,85.1,App,Active,NORTH,FullTime,8,58.0,3.78,Morning,1,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0,Midtown Relay,Central,Charging,63,,,,,,,,,,,,,,,,744.75,0.19994055380839149
